Kod;
828645;5036581063306
828805;5901793357935
829342;5905400220087
830218;5905400230048
836930;5036581063276
845701;5036581063337
849836;5036581063368
849845;5908238613014
901517;5904584147104
901862;5908226686976
901863;5901793355085
901864;3467670012271
901865;3467670012707
901866;5907516797422
902847;5907516797439
902848;5908305621928
902849;5908305621935
902850;5413031815034
902851;5905400279399
902852;5907561743825
904627;5907561743832
904628;5907561744815
905069;3663602321965
905210;4001221000554
905327;5907666201787
906075;5900350193160
906076;5907534260304
906092;5907534261172
906178;5907651691791
906888;5901796612604
908278;5901796612499
908279;5901796612512
908633;5900144010024
909384;8428519068052
910176;5900404001168
910227;5908305621898
910228;5903649001382
912757;5906725231352
912758;5901796606269
912759;5901796603923
912760;5901796612949
913666;5901796612666
913667;5901796612697
914046;5903649004093
914047;5908238613724
914155;4042533578874
914476;5900280630544
914509;5905546196901
914510;5901644641039
914512;5906877003074
914691;5906877003098
914768;3838682406233
916475;5905400159332
916558;5907783220289
917427;5907520972341
917428;5052931669103
917497;5052931669127
918595;5906083041037
918597;5906083041020
918599;5906083041013
918606;5052931495511
918710;5901193232436
918727;5901193234829
918843;5901193232375
918844;5901193233365
918865;5052931495436
918881;3663602814955
918900;3663602814948
918922;5907561732980
918931;3663602814931
918952;5902578301976
919075;5902578307213
919469;5902578307268
919531;5902578302263
919587;3663602801610
919630;5908280849713
919633;5902406630100
919857;4054640022645
919875;4054640015036
919879;4054640008977
919891;3663602801627
919892;4054640011410
919914;5907522116248
919915;3663602815044
919916;5907572765274
919918;5905485405874
919924;5905485405881
919925;5905485413459
919926;5905485413466
920774;3663602522461
920775;3165140950220
920776;5906474000209
920777;3663602810223
921531;4057749842084
921532;3430650199569
921559;5907520942481
921560;5907520973911
921659;5907520968696
921720;5900672650983
921734;5902022911638
921736;5900672650969
921737;5900672650976
921741;3663602814962
922150;5902143172437
923159;5907520926801
923162;3663602810230
923163;3663602805656
923164;3165140965521
923165;3663602805663
923166;5902022911812
923786;4054278271699
924032;6411501300003
924988;5411183010918
925105;5411183011922
925107;5900089617081
925250;5907520964599
925251;5907651690442
926586;5907651691616
927159;5907651692576
927282;5907651690879
927680;3663602805670
927681;5906340850013
927682;5901796603985
927683;5901796603909
927684;5900089617050
927685;5906711247985
927707;5907586945648
927708;5902020340027
927709;8008004097820
927710;3663602991472
927713;4003018001300
927714;5902020340119
927715;5036581063177
927716;5036581063160
927717;5036581063450
927718;5036581063436
927721;5907628797372
927722;5907628797389
927723;5907628797396
927724;5907628797402
935210;3663602991502
935226;3663602835172
935308;3663602834731
945164;3663602763017
945173;3663602763284
945175;3663602763383
945176;5901407510794
945187;5906726640801
955771;5902203173855
975761;5908278400407
986064;5902203173862
986065;5901407510817
995296;5901407511012
